,date,coronavirus,Country,related_queries
82,2020-03-22,100,Australia,"{0: 'nsw lockdown coronavirus', 1: 'access super coronavirus', 2: 'coronavirus supplements', 3: 'what are the symptoms of coronavirus', 4: 'coronavirus cases worldwide'}"
182,2020-03-12,100,Canada,"{0: 'tom hanks coronavirus', 1: 'sophie trudeau coronavirus', 2: 'nba player with coronavirus', 3: 'nba players coronavirus', 4: 'can dogs get coronavirus'}"
183,2020-03-13,99,Canada,"{0: 'lcbo closing coronavirus', 1: 'trudeau wife name', 2: 'coronavirus vaccine update', 3: 'uottawa coronavirus', 4: 'coronavirus newfoundland'}"
292,2020-03-12,100,Ireland,"{0: 'tom hanks coronavirus', 1: 'leo varadkar coronavirus', 2: 'cheltenham coronavirus', 3: 'coronavirus stats', 4: 'coronavirus northern ireland'}"
293,2020-03-13,90,Ireland,"{0: 'coronavirus memes', 1: 'coronavirus death toll', 2: 'coronavirus tracker', 3: 'coronavirus lanzarote', 4: 'coronavirus live update'}"
294,2020-03-14,96,Ireland,"{0: 'coronavirus live update', 1: 'coronavirus by country', 2: 'ireland coronavirus cases', 3: 'coronavirus france', 4: 'coronavirus ireland updates'}"
295,2020-03-15,96,Ireland,"{0: 'coronavirus tracker', 1: 'coronavirus vaccine'}"
416,2020-03-26,100,South_Africa,"{0: 'latest news on coronavirus in south africa', 1: 'coronavirus tips', 2: 'latest coronavirus stats', 3: 'coronavirus tracker', 4: 'coronavirus vaccine'}"
417,2020-03-27,96,South_Africa,"{0: 'update on coronavirus in south africa', 1: 'is coronavirus airborne', 2: 'coronavirus airborne', 3: 'world meter coronavirus', 4: 'latest coronavirus stats'}"
418,2020-03-28,93,South_Africa,"{0: 'live coronavirus updates', 1: 'latest on coronavirus in south africa', 2: 'how many cases of coronavirus in south africa', 3: 'confirmed cases of coronavirus in south africa', 4: 'coronavirus tracker'}"
423,2020-04-02,92,South_Africa,"{0: 'coronavirus tips', 1: 'coronavirus live update', 2: 'coronavirus cure'}"
512,2020-03-12,91,United_Kingdom,"{0: 'tom hanks coronavirus', 1: 'coronavirus cobra', 2: 'ireland coronavirus cases', 3: 'coronavirus cobra meeting', 4: 'celebrities with coronavirus'}"
516,2020-03-16,100,United_Kingdom,"{0: 'idris elba coronavirus', 1: 'pregnancy and coronavirus uk', 2: 'how to test for coronavirus uk', 3: 'pregnant women coronavirus', 4: 'pregnant coronavirus'}"
517,2020-03-17,96,United_Kingdom,"{0: 'does coronavirus start with a sore throat', 1: 'hmrc coronavirus helpline', 2: 'self employed coronavirus relief', 3: 'small business grant coronavirus', 4: 'coronavirus ibuprofen nhs'}"
622,2020-03-12,100,United_States_of_America,"{0: 'rudy gobert coronavirus', 1: 'tom hanks coronavirus', 2: 'utah jazz coronavirus', 3: 'celebrities with coronavirus', 4: 'does tom hanks have coronavirus'}"
625,2020-03-15,100,United_States_of_America,"{0: 'coronavirus tips', 1: 'coronavirus patient zero', 2: 'coronavirus curfew', 3: 'coronavirus in arizona', 4: 'coronavirus in tennessee'}"
626,2020-03-16,98,United_States_of_America,"{0: 'idris elba coronavirus', 1: 'are gyms closing because of coronavirus', 2: 'san francisco coronavirus', 3: 'new jersey coronavirus lockdown', 4: 'coronavirus ii'}"
